Venue Name,Venue type,Venue address,Latitude,Longitude
"Eucalypt Place Park, Bracken Ridge",Park,"Eucalypt Place Park, 21 Eucalypt Place, Bracken Ridge",-27.3256,153.0158
"Eugenia Street Park, Inala",Park,"Eugenia Street Park, 35 Razark Street, Inala",-27.5861,152.964
"Eugenia Street Park, Richlands",Park,"Eugenia Street Park, 35 Razark Street, Richlands",-27.586027,152.964039
"Eungella Terrace Park, Forest Lake",Park,"Eungella Terrace Park, 119 Sanctuary Drive, Forest Lake",-27.6342,152.982
"Evelyn Road Park, Wynnum West",Park,"Evelyn Road Park, 180 Kianawah Road, Wynnum West",-27.4517,153.1446
"Evergreen Place Park, Murarrie",Park,"Evergreen Place Park, 41 Rosewood Place, Murarrie",-27.4647,153.0922
Everton Park Library,Library,"Everton Park Library, 561 South Pine Road, Everton Park",-27.4055,152.9902
"Ewan Place Park, Bracken Ridge",Park,"Ewan Place Park, 27 Ewan Place, Bracken Ridge",-27.3262,153.028
"F. R. Caterson Park, Mansfield",Park,"F. R. Caterson Park, 730 Mt Gravatt-Capalaba Road, Mansfield",-27.542675,153.113365
"F.R. Caterson Park, Mansfield",Park,"F.R. Caterson Park, 730 Mt Gravatt-Capalaba Road, Mansfield",-27.5425,153.114
Fairfield Library,Library,"Fairfield Library, Fairfield Gardens Shopping Centre, 180 Fairfield Road, Fairfield",-27.5088,153.0246
"Fairfield Park, Fairfield",Park,"Fairfield Park, 94 Fairfield Road, Fairfield",-27.5035,153.0267
"Fallon Park, Everton Park",Park,"Fallon Park, 30 Fallon Street, Everton Park",-27.4045,152.9904
Falstaff Street Park,Park,"Falstaff Street Park, 41 Falstaff Street, Sunnybank Hills",-27.606571,153.051506
"Faulkner Park, Graceville",Park,"Faulkner Park, 80 Waratah Avenue, Graceville",-27.5174,152.9838
"Fauna Parade Park, Rocklea",Park,"Fauna Parade Park, 24 Corella Street, Rocklea",-27.5492,153.0143
"Faversham Street Park, Wooloongabba",Park,"Faversham Street Park, 33 Faversham Street, Woolloongabba",-27.4964,153.0389
"Federation Street Park, Wynnum West",Park,"Federation Street Park, 31 Federation Street, Wynnum West",-27.4524,153.152
"Fehlberg Park, Yeronga",Park,"Fehlberg Park, 230 Brisbane Corso, Yeronga",-27.5107,153.0184
"Feldt Street Park, Moorooka",Park,"Feldt Street Park, 333 Tarragindi Road, Moorooka",-27.5349,153.0318
"Felspar Street Park, Eight Mile Plains",Park,"Felspar Street Park, 15 Stanton Court, Eight Mile Plains",-27.5781,153.0849
"Fenwick Park, Mitchelton",Park,"Fenwick Park, 692 Samford Road, Mitchelton",-27.4126,152.9712
"Ferguson Park, Bracken Ridge",Park,"Ferguson Park, 201 Barrett Street, Bracken Ridge",-27.318,153.0369
"Ferguson Park, Enoggera",Park,"Ferguson Park, 305 Samford Road, Enoggera",-27.42,152.9875
Ferny Grove Aqua Park,Park,"Ferny Grove Aqua Park, Keperra Picnic Grounds, Ferny Grove",-27.4120749,152.9409415
"Ferny Grove Picnic Ground Park, Ferny Grove",Park,"Ferny Grove Picnic Ground Park, 1233 Samford Road, Ferny Grove",-27.4028,152.939
"Ferny Grove Resource Recovery Centre, Ferny Grove",General Council venue,"Ferny Grove Resource Recovery Centre, 101 Upper Kedron Road, Ferny Grove",-27.4098,152.9239
"Fiddlewood Crescent Park, Bellbowrie",Park,"Fiddlewood Crescent Park, 65 Fiddlewood Crescent, Bellbowrie",-27.5666,152.8792
"Fifteen Mile Corner, Corinda",Park,"Fifteen Mile Corner, 19 Teesdale Street, Corinda",-27.5451,152.9737
"Fifty Plus Centre, Brisbane City",General Council venue,"Brisbane City Hall, 64 Adelaide Street, Brisbane",-27.4691,153.0241
"Fig Tree Common Park, Fig Tree Pocket",Park,"Fig Tree Common Park, 26 Errogie Place, Fig Tree Pocket",-27.5249,152.9545
"Fig Tree Pocket Riverside Reserve, Fig Tree Pocket",Park,"Fig Tree Pocket Riverside Reserve, 870 Fig Tree Pocket Road, Fig Tree Pocket",-27.5422,152.9729
Fig Tree Point Park (road reserve),Park,"Fig Tree Point Park, 751 Esplanade, Lota",-27.469,153.1929
"Fihelly Street Park, Keperra",Park,"Fihelly Street Park , 97 Fihelly Street, Keperra",-27.4061,152.9608
"Finney Road Park, Indooroopilly",Park,"Finney Road Park, 24 Finney Road, Indooroopilly",-27.502,152.9699
"Finsbury Park, Wilston",Park,"Finsbury Park, 106A Finsbury Street, Wilston",-27.4401,153.0147
"Fisherman's Bend Park, Balmoral",Park,"Fisherman's Bend Park, 15 Fishermans Bend, Balmoral",-27.4578,153.0681
"Fitzgerald Street Park, Morningside",Park,"Fitzgerald Street Park, 329 Bennetts Road, Morningside",-27.4774,153.0675
Fitzgibbon Bushlands,Park,"Fitzgibbon Bushlands, 253 Telegraph Road, Fitzgibbon",-27.35,153.033333
Fitzgibbon Community Garden,Community Garden,"Fitzgibbon Community Garden, 82 Merimbula Crescent, Fitzgibbon",-27.338374,153.023894
"Flametree Street Park, Bridgeman Downs",Park,"Flametree Street Park, 33 Flametree Street, Bridgeman Downs",-27.349,153.0017
"Fleming Road Park (no. 241), Hemmant",Park,"Fleming Road Park (no. 241), 241 Fleming Road, Hemmant",-27.4613,153.1274
"Fleming Road Park, Tingalpa",Park,"Fleming Road Park, 1716 Wynnum Road, Tingalpa",-27.4658,153.1384
"Fletcher Parade Park (nos.161-231), Bardon",Park,"Fletcher Parade Park (nos.161-231), 219 Fletcher Parade, Bardon",-27.4507,152.9821
"Flockton Street Park, Stafford Heights",Park,"Flockton Street Park, 2 Lanchester Street, Stafford Heights",-27.3958,153.0016
"Florence Place Park, Oxley",Park,"Florence Place Park, 27 Florence Place, Oxley",-27.5555,152.9638
"Floribunda Place Park, Sunnybank Hills",Park,"Floribunda Place Park, 25 Floribunda Street, Sunnybank Hills",-27.5937,153.0466
"Flynn Oval Park, Windsor",Park,"Flynn Oval Park, 71 Cartwright Street, Windsor",-27.4391,153.034
"Forbes Park, Inala",Park,"Forbes Park, 4 Ilex Street, Inala",-27.5863,152.9692
"Forest Lake Lions Park, Forest lake",Park,"Forest Lake Lions Park, 36 Forest Lake Boulevard, Forest Lake",-27.6049,152.9528
Forest Lake mobile library,Mobile library,"Forest Lake mobile library, Forest Lake Village Shopping Centre, Forest Lake - outside Australia Post",-27.6253,152.9688
"Forest Lake Sports Fields, Forest Lake",Park,"Forest Lake Sports Fields, 310 Forest Lake Boulevard, Forest Lake",-27.6186,152.9656
"Formation Street Park (road reserve), Wacol",Park,"Formation Street Park, 31 Campbell Avenue, Wacol",-27.603,152.9272
"Fort Road Bushland, Oxley",Park,"Fort Road Bushland, 44 Cliveden Avenue, Oxley",-27.5474,152.967
"Fountain Reserve, Brisbane City",Park,"Fountain Reserve, 118 Eagle Street, Brisbane City",-27.466,153.0302
"Foxton Street Park (no. 130), Morningside",Park,"Foxton Street Park (no. 130), 130 Foxton Street, Morningside",-27.475,153.0748
"Franchina Family Park, Boondall",Park,"Franchina Family Park, 25 Jalomy Street, Boondall",-27.3513,153.0597
"Francis Outlook Park, Corinda",Park,"Francis Outlook Park, 157 Dewar Terrace, Corinda",-27.5368,152.9764
Frank Doyle Park,Park,"Frank Doyle Park, Allpass Parade and Shorncliffe Parade, Sandgate",-27.3203,153.0749
"Frank Roberts Park, Wavell Heights",Park,"Frank Roberts Park, 19 Charlotte Street, Wavell Heights",-27.395,153.051
"Frank Sleeman Park, Boondall",Park,"Frank Sleeman Park, 26A Parthenia Street, Boondall",-27.361,153.0591
"Frank Waters Park, Ashgrove",Park,"Frank Waters Park, 101 Dorrington Drive, Ashgrove",-27.4372,152.9919
"Franquin Crescent Park, Kuraby",Park,"Franquin Crescent Park, 27 Westpark Place, Kuraby",-27.5958,153.0989
"Fred Campbell Park, Aspley",Park,"Fred Campbell Park, 748 Zillmere Road, Aspley",-27.3585,153.0208
"Fred Francis Park, Bracken Ridge",Park,"Fred Francis Park, 30 Woodcroft Street, Bracken Ridge",-27.3133,153.0398
"Frederick Annand Park, Chermside West",Park,"Frederick Annand Park, 632 Webster Road, Chermside West",-27.3794,153.0192
"Free Street Park, Newmarket",Park,"Free Street Park, 12 Free Street, Newmarket",-27.4443,153.0028
"Fremont Street Park, Seventeen Mile Rocks",Park,"Fremont Street Park, 6 Delapine Place, Seventeen Mile Rocks",-27.5474,152.9592
"Freney Street Park, Rocklea",Park,"Freney Street Park, 90 Freney Street, Rocklea",-27.5521,153.0176
"Frew Park, Milton",Park,"Frew Park, 315 Milton Road, Milton",-27.4692,153.0002
"Frinton Street Park, Wishart",Park,"Frinton Street Park, 6 Frinton Street, Wishart",-27.5521,153.0981
"Fursden Road Park, Cannon Hill",Park,"Fursden Road Park, 132 Fursden Road, Cannon Hill",-27.4843,153.1088
Gabba Hill Community Garden,Community Garden,"Gabba Hill Community Garden, 2 Fleurs Street, Woolloongabba",-27.488323,153.032218
"Gaddes Park, Sunnybank",Park,"Gaddes Park, 27 Evenwood Street, Sunnybank",-27.574519,153.041384
"Gagarra Street Park, Eight Mile Plains",Park,"Gagarra Street Park, 43A Gagarra Street, Eight Mile Plains",-27.5831,153.0893
"Gager Street Park, Sunnybank",Park,"Gager Street Park, 121 Lister Street, Sunnybank",-27.5781,153.0572
"Gainsborough Avenue Park, Mackenzie",Park,"Gainsborough Avenue Park, 9 Rembrandt Way, Mackenzie",-27.5425,153.1258
"Gair Park, Dutton Park",Park,"Gair Park, 181 Annerley Road, Dutton Park",-27.4967,153.0274
Game Fishing Pontoon,General Council venue,"Game Fishing Pontoon, Kingsford Smith Drive, Hamilton",-27.44,153.0506
Gap Creek Reserve Picnic Area,Park,"Gap Creek Reserve Picnic Area, Gap Creek Road, Mount Coot-Tha",-27.4789,152.9286
Garden City Library,Library,"Garden City Library, Garden City Shopping Centre, Corner Logan and Kessels Road, Upper Mt Gravatt",-27.5614743,153.0803513
"Garrett Park, Runcorn",Park,"Garrett Park, 51 Vista Circuit, Runcorn",-27.5898,153.0819
"Garth Webb Park, Camp Hill",Park,"Garth Webb Park, 26 Arrowsmith Street, Camp Hill",-27.4885,153.086
"Gaythorne Bowls Club, Mitchelton",Non-Council venue,"Gaythorne Bowls Club, 18 Prospect Road, Mitchelton",-27.415298,152.980348
"Geebung Tip Shop, Geebung",General Council venue,"Geebung Tip Shop, 27A Prosperity Place, Geebung",-27.3657,153.0467
"Gemstone Crescent Park, Acacia Ridge",Park,"Gemstone Crescent Park, 26 Gemstone Crescent, Acacia Ridge",-27.5921,153.0161
"Geoff Toakley Park, Mount Gravatt East",Park,"Geoff Toakley Park, 78 Cortis Street, Mount Gravatt East",-27.5401,153.0843
"George Clayton Park, Manly",Park,"George Clayton Park, 298 The Esplanade, Manly",-27.4464,153.1842
"George Scarlett Park, Corinda",Park,"George Scarlett Park, 101 Pratten Street, Corinda",-27.5489,152.9845
"Gibbins Park, Sunnybank Hills",Park,"Gibbins Park, 3/22A Gibbins Street, Sunnybank Hills",-27.6047,153.0518
"Gibson Crescent Park, Bellbowrie",Park,"Gibson Crescent Park, 105 Pioneer Crescent, Bellbowrie",-27.5601,152.8666
"Gibson Park, Stafford",Park,"Gibson Park, 352 Stafford Road, Stafford",-27.4126,153.0142
"Gibson Place Park, Holland Park West",Park,"Gibson Place Park, 12 Monaco Street, Holland Park West",-27.5279,153.0578
"Gilbert Park, Red Hill",Park,"Gilbert Park, 98 Fulcher Road, Red Hill",-27.4483,152.997
"Gilbert Road Park, Grange",Park,"Gilbert Road Park, 110 Uxbridge Street, Grange",-27.4207,153.0223
"Giraween Park, Graceville",Park,"Giraween Park, 322 Verney Road East, Graceville",-27.5215,152.9884
"Gladstone Street Park (nos 48-58), Coorparoo",Park,"Gladstone Street Park, 58 Gladstone Street, Coorparoo",-27.492,153.0544
"Gladstone Street Park (nos. 14-18), Oxley",Park,"Gladstone Street Park, 20 Lincoln Street, Oxley",-27.5556,152.9777
"Glasshouse Crescent Park, Forest Lake",Park,"Glasshouse Crescent Park, 24 Toomba Place, Forest Lake",-27.6181,152.9745
"Glen Harding Park, Ashgrove",Park,"Glen Harding Park, 185 Coopers Camp Road, Ashgrove",-27.4512,152.9792
"Glenalwyn Street Park, Holland Park",Park,"Glenalwyn Street Park, 103 Pine Mountain Road, Holland Park",-27.5173,153.0844
"Gleneagles Crescent Park, Oxley",Park,"Gleneagles Crescent Park, 30 Gleneagles Crescent, Oxley",-27.5756,152.9863
"Glenefer Street Park, Runcorn",Park,"Glenefer Street Park, 35 Glenefer Street, Runcorn",-27.5991,153.0673
"Glindemann  Park, Holland Park West",Park,"Glindemann  Park, 1208 Logan Road, Holland Park West",-27.520863,153.068177
"Glindemann Drive Park, Holland Park",Park,"Glindermann Drive Park, 31 Holland Road, Holland Park",-27.5199,153.0661
"Glindemann Park, Holland Park West",Park,"Glindemann Park, 1208 Logan Road, Holland Park West",-27.5255,153.0692
"Glorious Way Park, Forest Lake",Park,"Glorious Way Park, 25 Glorious Way, Forest Lake",-27.6162,152.9745
"Gold Creek Reserve, Brookfield",Park,"Gold Creek Reserve, 53 Jones Road, Brookfield",-27.4629,152.9135
"Goldberg Place Park, Bridgeman Downs",Park,"Goldberg Place Park, 165 Althorp Road, Bridgeman Downs",-27.3711,152.995
"Golden Oak Crescent Park, Carindale",Park,"Golden Oak Crescent Park, 29 Golden Oak Crescent, Carindale",-27.5258,153.1159
Golden Years Seniors Centre,"Community Garden,Non-Council venue","Golden Years Seniors Centre, 15 Jenner Street, Nundah",-27.4003,153.063
Goldmine Picnic Area,Park,"Goldmine Picnic Area, Sir Samuel Griffith Drive, Mt Coot-tha",-27.4697,152.9417
"Goodenia Reserve, Brighton",Park,"Goodenia Reserve, 61 MacLean Street, Brighton",-27.303,153.0562
"Goodwin Park, Yeronga",Park,"Goodwin Park, 230 Brisbane Corso, Yeronga",-27.5065,153.0129
"Gordon Crescent, Wakerley",Park,"Gordon Crescent, 21 McCormack Place, Wakerley",-27.4804,153.1532
"Gordon Park Playground Park, Gordon Park",Park,"Gordon Park Playground Park, 55 Khartoum Street, Gordon Park",-27.4143,153.0277
"Gordon Thomson Park, Chelmer",Park,"Gordon Thomson Park, 90 Wharf Street, Chelmer",-27.5097,152.9755
"Gorman Crinnen Park, Runcorn",Park,"Gorman Crinnen Park, 17 Kolan Street, Runcorn",-27.6078,153.0669
"Gould Road Park, Herston",Park,"Gould Road Park, 16 Gould Road, Herston",-27.4426,153.0206
"Gowan Road Park, Calamvale",Park,"Gowan Road Park, 841 Gowan Road, Calamvale",-27.6276,153.0562
"Gower Street Park, Toowong",Park,"Gower Street Park, 135 Broseley Road, Toowong",-27.4844,152.9753
"Graceville Avenue Park, Graceville",Park,"Graceville Avenue Park, 223 Graceville Avenue, Graceville",-27.5259,152.9948
"Graceville Memorial Park, Graceville",Park,"Graceville Memorial Park, 173 Oxley Road, Graceville",-27.5176,152.9764
"Graceville Riverside Parklands, Graceville",Park,"Graceville Riverside Parklands, 242 Graceville Avenue, Graceville",-27.5237,152.9929
Graceville/Sherwood Community Garden,"Community Garden,Non-Council venue","Graceville/Sherwood Community Garden, 79 Waratah Avenue, Graceville",-27.5185,152.9852
"Graham Lord Park, Mount Gravatt East",Park,"Graham Lord Park, 293 Creek Road, Mount Gravatt East",-27.5327,153.0934
"Grandview Place Park, Carindale",Park,"Grandview Place Park, 19 Grandview Place, Carindale",-27.517,153.1221
"Grandview Road Park, Pullenvale",Park,"Grandview Road Park, 111 Grandview Road, Pullenvale",-27.5318,152.8966
Grange Bowls and Community Club,Non-Council venue,"Grange Bowls and Community Club, Lanham Park, Sellheim Street, Grange",-27.4239,153.0185
Grange Community Hall,Community Hall,"Grange Community Hall, 187 Wilston Road, Newmarket",-27.427318,153.011284
"Grange Forest Park, Grange",Park,"Grange Forest Park, 105 Raymont Road, Grange",-27.4151,153.0094
Grange Library,Library,"Grange Library, 79 Evelyn Street, Grange",-27.4248,153.0176
"Green Camp Road Park, Wakerley",Park,"Green Camp Road Park, 90 Greencamp Road, Wakerley",-27.4812,153.1716
Green Corner Community Garden (Ashgrove),"Community Garden,Non-Council venue","Green Corner Community Garden (Ashgrove), Corner Waterworks Road and Jubilee Terrace, Ashgrove",-27.4459,152.9893
"Green Hill Reservoir Park, Chapel Hill",Park,"Green Hill Reservoir Park, 206C Russell Terrace, Chapel Hill",-27.4956,152.9575
Green P Community Garden (PCYC),"Community Garden,Non-Council venue","Green P Community Garden (PCYC), 106 Kempster Street, Deagon",-27.3196,153.0554
"Greendale Park, Carindale",Park,"Greendale Park, 61A Cribb Road, Carindale",-27.5198,153.115
"Greene Park, Wynnum",Park,"Greene Park, 2 Glenora Street, Wynnum",-27.4361,153.1728
"Greenhills Park, Alderley",Park,"Greenhills Park, 29 Graham Street, Alderley",-27.4292,152.9997
"Greenmont Close Park, Ashgrove",Park,"Greenmont Close Park, 15 Greenmont Close, Ashgrove",-27.4523,152.967
"Greenways Esplanade Park, Parkinson",Park,"Greenways Esplanade Park, 30 Greenways Esplanade, Parkinson",-27.6422,153.0199
"Gregory Park, Milton",Park,"Gregory Park, 128 Baroona Road, Milton",-27.4667,152.9996
"Grenier Park, Acacia Ridge",Park,"Grenier Park, 20 Oxley Street, Acacia Ridge",-27.5794,153.0195
"Grevillea Park, Mansfield",Park,"Grevillea Park, 87B Valentia Street, Mansfield",-27.5358,153.0953
"Grey Gum Park, Stafford Heights",Park,"Grey Gum Park, 822 Rode Road, Stafford Heights",-27.3919,153.0041
Grey Gum Picnic Area,Park,"Grey Gum Picnic Area, Sir Samuel Griffiths Drive, Mt Coot-tha",-27.4697,152.9417
"Grey Gums Park, Kelvin Grove",Park,"Grey Gums Park, 22 Robinson Place, Kelvin Grove",-27.4518,153.0136
"Griffith Place Park, Seven Hills",Park,"Griffith Place Park, 28 Tallowwood Street, Seven Hills",-27.4772311,153.0743298
"Grinstead Park, Alderley",Park,"Grinstead Park, 130 Shand Street, Alderley",-27.4172,153.0015
"Grove Park, Runcorn",Park,"Grove Park, 6 Pinetree Place, Runcorn",-27.6,153.0785
"Grovely Sportsground Park, Keperra",Park,"Grovely Sportsground Park, 32 Hanran Street, Keperra",-27.4036,152.9587
Grow for Life' Abbeville Street Community Garden,"Community Garden,Non-Council venue","Grow for Life' Abbeville Street Community Garden, 41 Abbeville Street, Upper Mt Gravatt",-27.5451,153.09
'Grow for Life' Abbeville Street Community Garden,"Community Garden,Non-Council venue","'Grow for Life' Abbeville Street Community Garden, 41 Abbeville Street, Upper Mt Gravatt",-27.54443,153.088797
Gubberley Street Park,Park,"Gubberley Street Park, 1A Fairholme Street, Kenmore",-27.5111,152.9416
"Gum Nut Nook, McDowall",Park,"Gum Nut Nook, 27 Boulting Street, McDowall",-27.3836,152.9846
"Gus Davies Park, Bald Hills",Park,"Gus Davies Park, 39 Charlock Road, Bald Hills",-27.3072,153.0203
"Guyatt Park, St Lucia",Park,"Guyatt Park, 19 Hiron Street, St Lucia",-27.4931,153.0014
"Gympie Road Park (no. 1), Kedron",Park,"Gympie Road Park (no. 1), 15A Park Terrace, Kedron",-27.4128,153.0366
"Habitat Drive Park, Wakerley",Park,"Habitat Drive Park, 45 Habitat Drive, Wakerley",-27.4876,153.1626
"Habitat Place South Park, Drewvale",Park,"Habitat Place South Park, 63 Habitat Place, Drewvale",-27.642115,153.054743
"Hair Park, Runcorn",Park,"Hair Park, 38 Victor Street, Runcorn",-27.6008,153.0832
"Halford Park, Grange",Park,"Halford Park, 47 Blandford Street, Grange",-27.4193,153.0092
Hamilton Library,Library,"Hamilton Library, 36 Racecourse Road, Ascot",-27.438,153.0645
"Hamilton Park, Hamilton",Park,"Hamilton Park, 471 Kingsford Smith Drive, Hamilton",-27.4394,153.0654
"Hamilton Town Hall, Hamilton",Community Hall,"Hamilton Town Hall, Corner of Rossiter Parade and Racecourse Road, Hamilton",-27.438,153.0645
"Hamish Street Park, Calamvale",Park,"Hamish Street Park, 70 Murphy Street, Calamvale",-27.6189,153.0441
"Hancock Park - Pine Village Park, Forest Lake",Park,"Hancock Park - Pine Village Park, 11 Bunya Street, Forest Lake",-27.6147,152.9606
"Hanlon Park, Stones Corner",Park,"Hanlon Park, 56 Junction Street, Stones Corner",-27.5008618,153.0423535
"Hardcastle Park, Hawthorne",Park,"Hardcastle Park, 28 Gordon Street, Hawthorne",-27.4608,153.0538
"Hardgrave Park, Petrie Terrace",Park,"Hardgrave Park, 155 Petrie Terrace, Petrie Terrace",-27.4624,153.0148
"Harman's Park, Manly",Park,"Harman's Park, 38 Curtis Street, Manly",-27.4603,153.1805
Harmony Gardens,Park,"Harmony Gardens, Memorial Park Drive, Dutton Park",-27.4973,153.0248
"Harold Dean Park, Bracken Ridge",Park,"Harold Dean Park, 93 Gawain Road, Bracken Ridge,",-27.3148,153.0317
"Harold Kielly Park, Bald Hills",Park,"Harold Kielly Park, 508 Bracken Ridge Road, Bald Hills",-27.3109,153.0217
"Harrison Crescent Park, Forest Lake",Park,"Harrison Crescent Park, 6 Mannix Place, Forest Lake",-27.6248,152.9449
"Harry Kirby Park, Aspley",Park,"Harry Kirby Park, 29 Kirby Road, Aspley",-27.3605,153.0264
"Hatherton Crescent Park, Carindale",Park,"Hatherton Crescent Park, 4 Delaney Circuit, Carindale",-27.521,153.1087
Hawbridge Street Park,Park,"Hawbridge Street Park, 2 Hawbridge Street, Carseldine",-27.3523096,153.0127806
"Hawera Crescent Park, Aspley",Park,"Hawera Crescent Park, 23 Kakanui Street, Aspley",-27.3664,153.0061
"Hawthorn Avenue Park, Stretton",Park,"Hawthorn Avenue Park, 113 The Parkway, Stretton",-27.6276,153.0616
"Hawthorne Park, Hawthorne",Park,"Hawthorne Park, 140 Riding Road, Hawthorne",-27.4637,153.062
"Haywal Street Park, Taigum",Park,"Haywal Street Park, 11 Haywal Street, Taigum",-27.3464,153.0497
"Hazel Street Park, Heathwood",Park,"Hazel Street Park, 8 Hazel Street, Heathwood",-27.6344,152.9887
"Heath Park, East Brisbane",Park,"Heath Park, 48 Hilton Street, East Brisbane",-27.4783,153.0525
"Heath Street Park, Forest Lake",Park,"Heath Street Park, 21 Laricina Circuit, Forest Lake",-27.61,152.9695
Heathwood Park,Park,"Heathwood Park, 140 Parkwood Drive, Heathwood",-27.6378,152.9877
"Heathwood Park, Heathwood",Park,"Heathwood Park, 140 Parkwood Drive, Heathwood",-27.6378,152.9877
"Hedley Barker Park, Aspley",Park,"Hedley Barker Park, 26 Stonycroft Street, Aspley",-27.3699,153.0089
"Heers Park, Manly West",Park,"Heers Park, 202 Wondall Road, Manly West",-27.4624,153.1617
"Hefferan Park, Annerley",Park,"Hefferan Park, 260 Annerley Road, Annerley",-27.5005,153.0294
"Heiner Park, Keperra",Park,"Heiner Park, 170 Blaker Road, Keperra",-27.4043,152.9663
"Heinrich Gerns Park, Wavell Heights",Park,"Heinrich Gerns Park, 71 Magenta Street, Wavell Heights",-27.3804,153.0499
"Hemmant Boat Ramp, Hemmant",General Council venue,"Hemmant Boat Ramp, Aquarium Avenue, Hemmant",-27.4407,153.1267
"Hemmant Cemetery and Crematorium, Hemmant",General Council venue,"Hemmant Cemetery and Crematorium, 500 Hemmant and Tingalpa Road, Hemmant",-27.4652,153.1339
"Hemmant Recreation Reserve, Hemmant",Park,"Hemmant Recreation Reserve, 106 Carlill Lane, Hemmant",-27.4535,153.1203
"Henry Clarkson Park, Kenmore",Park,"Henry Clarkson Park, 97 Marshall Lane, Kenmore",-27.517,152.9457
"Herb Holz Park, Deagon",Park,"Herb Holz Park, 21 Yaldwyn Street, Deagon",-27.3342,153.0579
"Herbert Street Park, Lota",Park,"Herbert Street Park, 66A Herbert Street, Lota",-27.4748,153.1781
"Hercules Street Park, Hamilton",Park,"Hercules Street Park, 40 Remora Road, Hamilton",-27.4387,153.0699
"Heritage Park, Karana Downs",Park,"Heritage Park, 2 Caringal Drive, Karana Downs",-27.5438,152.8321
"Hibiscus Skate Park, Upper Mt Gravatt",General Council venue,"Hibiscus Skate Park, 90 Klumpp Road, Upper Mt Gravatt",-27.552,153.0735
"Hibiscus Sports Complex Pool, Upper Mount Gravatt",Swimming pool,"Hibiscus Sports Complex Pool, 90 Klumpp Road, Upper Mount Gravatt",-27.552,153.0735
"Hibiscus Sports Complex, Upper Mount Gravatt",General Council venue,"Hibiscus Sports Complex, 90 Klumpp Road, Upper Mount Gravatt",-27.5524,153.0701
"Hickey Park, Stafford",Park,"Hickey Park, 71 Gamelin Crescent, Stafford",-27.4149,153.0202
"Highgate Hill Park, Highgate Hill",Park,"Highgate Hill Park, 94 Hampstead Road, Highgate Hill",-27.4867,153.0167
"Highlands Drive Park, Calamvale",Park,"Highlands Drive Park, 25 Highlands Drive, Calamvale",-27.6109,153.0466
"Hill Road Park, Runcorn",Park,"Hill Road Park, 134A Hill Road, Runcorn",-27.5907,153.0769
"Hilltop Place Park, Banyo",Park,"Hilltop Place Park, 37 Hilltop Place, Banyo",-27.376229,153.083352
"Hinchinbrook Circuit Park, Forest Lake",Park,"Hinchinbrook Circuit Park, 58 Hinchinbrook Circuit, Forest Lake",-27.6348,152.9778
"Hinkler Park, Windsor",Park,"Hinkler Park, 93 Main Avenue, Windsor",-27.4321,153.0242
"Hives Park, Sherwood",Park,"Hives Park, 34 Thallon Street, Sherwood",-27.5347,152.9804
"Hock Davis Park, Inala",Park,"Hock Davis Park, 63 Lavender Street, Inala",-27.594,152.9643
"Holden Park, Sunnybank Hills",Park,"Holden Park, 18 Holden Drive, Sunnybank Hills",-27.5952,153.0425
Holland Park Library,Library,"Holland Park Library, 81 Seville Road, Holland Park",-27.5227,153.0721
"Hollyman Park, Runcorn",Park,"Hollyman Park, 35 Allamanda Street, Runcorn",-27.5887,153.0726
"Holmead Park, Eight Mile Plains",Park,"Holmead Park, 2 Holmead Road, Eight Mile Plains",-27.5663,153.0926
"Homestead Park, Forest Lake",Park,"Homestead Park, 9 Atherton Circuit, Forest Lake",-27.607279,152.957467
Honeyeater Street Park,Park,"Honeyeater Street Park, 21 Honeyeater Street, Upper Kedron",-27.4193276,152.9166509
"Honeysuckle Way Park, Calamvale",Park,"Honeysuckle Way Park, 66 Honeysuckle Way, Calamvale",-27.6332,153.0537
"Honeywood Street Park, Sunnybank Hills",Park,"Honeywood Street Park, 10 Cherrywood Street, Sunnybank Hills",-27.6102,153.0593
"Horace Window Reserve, Corinda",Park,"Horace Window Reserve, 30 Francis Street, Corinda",-27.5361,152.9732
"Horizon Drive Park, Middle Park",Park,"Horizon Drive Park, 141 Horizon Drive, Middle Park",-27.5512,152.921
"Hoyland Street Park (no. 10), Bald Hills",Park,"Hoyland Street Park (no. 10), 80 Elstree Street, Bald Hills",-27.3176,153.0182
"Hudson Road Park, Albion",Park,"Hudson Road Park, 37A Hudson Road, Albion",-27.4308,153.0412
"Hughie Williams Park, Bardon",Park,"Hughie Williams Park, 93 Cecil Road, Bardon",-27.4568,152.983
"Hutchinson Park, Shorncliffe",Park,"Hutchinson Park, 77 Friday Street, Shorncliffe",-27.3264,153.0812
"Huxtable Park, Chermside West",Park,"Huxtable Park, 61 Maundrell Terrace, Chermside West",-27.388,153.0167
"Hyde Road Park, Yeronga",Park,"Hyde Road Park, 331 Fairfield Road, Yeronga",-27.5129,153.0186
"I. S. A. Memorial Park, Inala",Park,"I. S. A. Memorial Park, 108 Poinsettia Street, Inala",-27.595886,152.971378
"I.S.A. Memorial Park, Inala",Park,"I.S.A. Memorial Park, 108 Poinsettia Street, Inala",-27.596,152.9713
"Ian Page Park, Carina",Park,"Ian Page Park, 1A Celestial Court, Carina",-27.489,153.1029
Illaweena Street Park (no. 263),Park,"Illaweena Street Park, Illaweena Street, Drewvale",-27.6402,153.0569
"Illawong Reserve, Karana Downs",Park,"Illawong Reserve, 73 College Road, Karana Downs",-27.5559,152.8167
